experiment,experiment_label,condition_id,condition_label,delay_family,variant,variant_label,delay_label,act_min,act_max,obs_min,obs_max,seed,train_steps,episode,episode_steps,true_return,delayed_return,mean_distance,final_distance,min_distance,success
constant,Constant delay,constant_10_10,"(10,10)",constant,augmented_action_delay,Augmented (+action buffer + delay values),"(10,10)",10,10,10,10,507000,7000,4,90,-237.02196621894836,-198.53101515769958,2.6335774024327594,3.849095106124878,1.846921443939209,0.0
constant,Constant delay,constant_10_10,"(10,10)",constant,augmented_action_delay,Augmented (+action buffer + delay values),"(10,10)",10,10,10,10,508000,8000,0,90,-221.40575170516968,-188.70935916900635,2.4600639078352184,3.269639253616333,1.9115561246871948,0.0
constant,Constant delay,constant_10_10,"(10,10)",constant,augmented_action_delay,Augmented (+action buffer + delay values),"(10,10)",10,10,10,10,508000,8000,1,90,-217.45545172691345,-185.9232213497162,2.416171685854594,3.1532230377197266,1.9591490030288696,0.0
constant,Constant delay,constant_10_10,"(10,10)",constant,augmented_action_delay,Augmented (+action buffer + delay values),"(10,10)",10,10,10,10,508000,8000,2,90,-232.0135669708252,-199.41709566116333,2.5779285218980577,3.2596471309661865,2.128748655319214,0.0
constant,Constant delay,constant_10_10,"(10,10)",constant,augmented_action_delay,Augmented (+action buffer + delay values),"(10,10)",10,10,10,10,508000,8000,3,90,-211.20855581760406,-182.31732857227325,2.346761731306712,2.889122724533081,1.9897408485412598,0.0
constant,Constant delay,constant_10_10,"(10,10)",constant,augmented_action_delay,Augmented (+action buffer + delay values),"(10,10)",10,10,10,10,508000,8000,4,90,-223.93310379981995,-192.4240334033966,2.488145597775777,3.150907039642334,2.078197479248047,0.0
constant,Constant delay,constant_10_10,"(10,10)",constant,augmented_action_delay,Augmented (+action buffer + delay values),"(10,10)",10,10,10,10,509000,9000,0,90,-151.71439558267593,-124.33886677026749,1.6857155064741771,2.7375528812408447,0.4921911358833313,0.0
constant,Constant delay,constant_10_10,"(10,10)",constant,augmented_action_delay,Augmented (+action buffer + delay values),"(10,10)",10,10,10,10,509000,9000,1,90,-149.22390323877335,-119.06681162118912,1.6580433693197039,3.015709161758423,0.458080530166626,0.0
constant,Constant delay,constant_10_10,"(10,10)",constant,augmented_action_delay,Augmented (+action buffer + delay values),"(10,10)",10,10,10,10,509000,9000,2,90,-148.93943551182747,-117.73165705800056,1.654882616798083,3.1207778453826904,0.38289710879325867,0.0
constant,Constant delay,constant_10_10,"(10,10)",constant,augmented_action_delay,Augmented (+action buffer + delay values),"(10,10)",10,10,10,10,509000,9000,3,90,-153.18911749124527,-123.90635925531387,1.7021013054582808,2.9282758235931396,0.5268986225128174,0.0
constant,Constant delay,constant_10_10,"(10,10)",constant,augmented_action_delay,Augmented (+action buffer + delay values),"(10,10)",10,10,10,10,509000,9000,4,90,-149.98600387573242,-118.14841890335083,1.6665111541748048,3.183758497238159,0.36557701230049133,0.0
constant,Constant delay,constant_10_10,"(10,10)",constant,augmented_action_delay,Augmented (+action buffer + delay values),"(10,10)",10,10,10,10,510000,10000,0,90,-108.51638974249363,-100.07475139200687,1.2057376638054849,0.8441638350486755,0.18264412879943848,0.0
constant,Constant delay,constant_10_10,"(10,10)",constant,augmented_action_delay,Augmented (+action buffer + delay values),"(10,10)",10,10,10,10,510000,10000,1,90,-107.00135827064514,-98.65195155143738,1.188903980784946,0.8349406719207764,0.25708380341529846,0.0
constant,Constant delay,constant_10_10,"(10,10)",constant,augmented_action_delay,Augmented (+action buffer + delay values),"(10,10)",10,10,10,10,510000,10000,2,90,-98.36190570890903,-90.49596358835697,1.0929100634323226,0.7865942120552063,0.15250727534294128,0.0
constant,Constant delay,constant_10_10,"(10,10)",constant,augmented_action_delay,Augmented (+action buffer + delay values),"(10,10)",10,10,10,10,510000,10000,3,90,-115.54807251691818,-104.20441454648972,1.283867472410202,1.1343657970428467,0.5215930342674255,0.0
constant,Constant delay,constant_10_10,"(10,10)",constant,augmented_action_delay,Augmented (+action buffer + delay values),"(10,10)",10,10,10,10,510000,10000,4,90,-95.6971241645515,-86.55782059952617,1.0633013796061277,0.913930356502533,0.04185933992266655,0.0
constant,Constant delay,constant_10_10,"(10,10)",constant,unseen,Unseen delay,"(10,10)",10,10,10,10,501000,1000,0,90,-193.42930245399475,-172.54665303230286,2.1492144717110526,2.0882649421691895,2.071692705154419,0.0
constant,Constant delay,constant_10_10,"(10,10)",constant,unseen,Unseen delay,"(10,10)",10,10,10,10,501000,1000,1,90,-170.08622813224792,-152.91350531578064,1.8898469792471992,1.7172722816467285,1.7172722816467285,0.0
constant,Constant delay,constant_10_10,"(10,10)",constant,unseen,Unseen delay,"(10,10)",10,10,10,10,501000,1000,2,90,-181.19962084293365,-162.03384506702423,2.0133291204770405,1.9165775775909424,1.9165775775909424,0.0
constant,Constant delay,constant_10_10,"(10,10)",constant,unseen,Unseen delay,"(10,10)",10,10,10,10,501000,1000,3,90,-173.93947672843933,-155.66928815841675,1.9326608525382147,1.8270188570022583,1.8159594535827637,0.0
constant,Constant delay,constant_10_10,"(10,10)",constant,unseen,Unseen delay,"(10,10)",10,10,10,10,501000,1000,4,90,-159.83940863609314,-142.85018348693848,1.7759934292899238,1.6989225149154663,1.6934926509857178,0.0
constant,Constant delay,constant_10_10,"(10,10)",constant,unseen,Unseen delay,"(10,10)",10,10,10,10,502000,2000,0,90,-135.40192437171936,-125.30781698226929,1.5044658263524373,1.0094107389450073,1.0094107389450073,0.0
constant,Constant delay,constant_10_10,"(10,10)",constant,unseen,Unseen delay,"(10,10)",10,10,10,10,502000,2000,1,90,-148.0075603723526,-135.0060099363327,1.6445284485816956,1.3001550436019897,1.246455430984497,0.0
constant,Constant delay,constant_10_10,"(10,10)",constant,unseen,Unseen delay,"(10,10)",10,10,10,10,502000,2000,2,90,-169.73331451416016,-149.1789698600769,1.8859257168240018,2.055434465408325,1.6307226419448853,0.0
constant,Constant delay,constant_10_10,"(10,10)",constant,unseen,Unseen delay,"(10,10)",10,10,10,10,502000,2000,3,90,-87.12700517475605,-81.99478657543659,0.9680778352750672,0.5132218599319458,0.20776422321796417,0.0
constant,Constant delay,constant_10_10,"(10,10)",constant,unseen,Unseen delay,"(10,10)",10,10,10,10,502000,2000,4,90,-125.6524509191513,-116.60712480545044,1.3961383435461256,0.9045326113700867,0.9045326113700867,0.0
constant,Constant delay,constant_10_10,"(10,10)",constant,unseen,Unseen delay,"(10,10)",10,10,10,10,503000,3000,0,90,-348.11767411231995,-286.8272240161896,3.867974156803555,6.129045009613037,2.0741159915924072,0.0
constant,Constant delay,constant_10_10,"(10,10)",constant,unseen,Unseen delay,"(10,10)",10,10,10,10,503000,3000,1,90,-323.0172312259674,-265.0783121585846,3.5890803469551935,5.793891906738281,2.065730571746826,0.0
constant,Constant delay,constant_10_10,"(10,10)",constant,unseen,Unseen delay,"(10,10)",10,10,10,10,503000,3000,2,90,-210.3318600654602,-177.5087695121765,2.337020667394002,3.282309055328369,1.798314094543457,0.0
constant,Constant delay,constant_10_10,"(10,10)",constant,unseen,Unseen delay,"(10,10)",10,10,10,10,503000,3000,3,90,-304.112833738327,-249.29834246635437,3.3790314859814115,5.481449127197266,2.122279167175293,0.0
