experiment,experiment_label,variant,variant_label,delay_label,act_min,act_max,obs_min,obs_max,seed,train_steps,episode,episode_steps,true_return,delayed_return,mean_distance,final_distance,min_distance,success
constant,Constant delay,augmented_action,Augmented (+action buffer),"(10,10)",10,10,10,10,511000,1000,3,90,-221.8479826450348,-194.69234490394592,2.464977584944831,2.7155637741088867,2.2471137046813965,0.0
constant,Constant delay,augmented_action,Augmented (+action buffer),"(10,10)",10,10,10,10,511000,1000,4,90,-194.60148131847382,-171.0261491537094,2.1622386813163756,2.3575332164764404,1.9699150323867798,0.0
constant,Constant delay,augmented_action,Augmented (+action buffer),"(10,10)",10,10,10,10,512000,2000,0,90,-195.27587699890137,-173.14613389968872,2.1697319666544597,2.2129743099212646,2.1224334239959717,0.0
constant,Constant delay,augmented_action,Augmented (+action buffer),"(10,10)",10,10,10,10,512000,2000,1,90,-203.16094374656677,-180.3303143978119,2.2573438194062976,2.2830629348754883,2.176858901977539,0.0
constant,Constant delay,augmented_action,Augmented (+action buffer),"(10,10)",10,10,10,10,512000,2000,2,90,-196.63022685050964,-174.6451895236969,2.184780298338996,2.1985037326812744,2.157209873199463,0.0
constant,Constant delay,augmented_action,Augmented (+action buffer),"(10,10)",10,10,10,10,512000,2000,3,90,-187.21380424499512,-165.86870622634888,2.080153380499946,2.134509801864624,2.0005156993865967,0.0
constant,Constant delay,augmented_action,Augmented (+action buffer),"(10,10)",10,10,10,10,512000,2000,4,90,-203.6264214515686,-180.6103000640869,2.2625157939063176,2.301612138748169,2.2269062995910645,0.0
constant,Constant delay,augmented_action,Augmented (+action buffer),"(10,10)",10,10,10,10,513000,3000,0,90,-183.8171170949936,-166.0196851491928,2.0424124121665956,1.7797431945800781,1.7797431945800781,0.0
constant,Constant delay,augmented_action,Augmented (+action buffer),"(10,10)",10,10,10,10,513000,3000,1,90,-168.32764053344727,-151.87493705749512,1.870307117038303,1.6452703475952148,1.6452703475952148,0.0
constant,Constant delay,augmented_action,Augmented (+action buffer),"(10,10)",10,10,10,10,513000,3000,2,90,-175.15853118896484,-157.88367700576782,1.9462059020996094,1.7274854183197021,1.7274854183197021,0.0
